permission_id,street,post_code,prim_add_obj_name
149281,Friern Barnet Road,N11 1NA,34
244261,BARROWGATE ROAD,W4 4QP,LAND ADJACENT TO 124
201636,Devonshire Mews,W4 2PA,1B
158297,SOMERSET CLOSE,KT3 5RF,2A
151701,Arthur Road,TN16 3DD,30
151976,SHERBORNE ROAD,SM1 2LG,2A
148008,Warham Road,HA3 7HZ,84
204155,Church Road,NW4 4DP,71-73
260338,Green Lanes,N8 0RE,595 - 597
154311,Curzon Road,N10 2RA,
165700,Plumstead Common Road,SE18 2UL,134-136
196008,High Road,N22 8JA,363
153004,North End Way,NW3 7ES,"The Lodge, Jack Straws Castle, 12"
165556,Fairlands Avenue,CR7 6HA,2B
182768,FAIRMEAD CLOSE,KT3 3BZ,PLAYGROUND
152423,Hampden Way,N14 5AY,Land at 157
150711,Forest Lane,E7 9BB,128
200722,Mare Street,E8 1HR,352
175514,Haynes Road,RM11 2HX,163
148179,The Highlands,HA8 5HL,36
185968,Vaughan Road,HA1 4EF,125A
150117,Central Park Road,E6 3AD,272
154218,Abbotsbury Road,SM4 5LJ,21A
256312,Finchley Lane,NW4 1DH,76
149499,Dollis Hill Lane,NW2 6JA,Land rear of 114 - 116
167988,BIRCHWOOD AVENUE,SM6 7EN,13
150302,Church Road,CR0 1SG,3
257128,Arthur Road,SW19 8AQ,158-164
170328,Heathfield,BR7 6AF,27
245390,Byron Road,NW7 4AD,18/18A
147853,Sydenham Road,CR0 2EX,5
205180,Chatsworth Road,NW2 4DG,70C
198751,Hale Lane,HA8 9QF,225
182008,Broadhurst Gardens,NW6 3QT,33
148923,Brighton Road,CR8 2LG,Beech House
160628,Castellain Road,W9 1EU,75
171108,The Avenue,NW6 7NR,49
260634,Station Road,EN5 1NW,"Groupama House, 17"
253135,LOWER ROAD,SM1 4QJ,5
157235,The Rise,N13 4BS,7
240072,Mattock Lane,W13 9NS,38
219928,Priests Bridge,SW15 5JE,10 - 12
148685,"Mountjoy House, Barbican",EC2Y 8BP,109/110
161670,Sebert Road,E7 0NG,1
